Churn_Status,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Total_Trans_Amt_Original,Total_Trans_Amt_Capped,Total_Amt_Chng_Original,Total_Amt_Chng_Capped,Credit_Limit_Original,Credit_Limit_Capped
0,45,M,3,High School,Married,$60K - $80K,Blue,39,5,1,3,12691.0,777,11914.0,1.201,1144.0,42,1.172,0.061,1144.0,1144.0,1.201,1.201,12691.0,12691.0
0,49,F,5,Graduate,Single,Less than $40K,Blue,44,6,1,2,8256.0,864,7392.0,1.201,1291.0,33,1.172,0.105,1291.0,1291.0,1.201,1.201,8256.0,8256.0
0,51,M,3,Graduate,Married,$80K - $120K,Blue,36,4,1,0,3418.0,0,3418.0,1.201,1887.0,20,1.172,0.0,1887.0,1887.0,1.201,1.201,3418.0,3418.0
0,40,F,4,High School,Unknown,Less than $40K,Blue,34,3,4,1,3313.0,2517,796.0,1.201,1171.0,20,1.172,0.76,1171.0,1171.0,1.201,1.201,3313.0,3313.0
0,40,M,3,Uneducated,Married,$60K - $80K,Blue,21,5,1,0,4716.0,0,4716.0,1.201,816.0,28,1.172,0.0,816.0,816.0,1.201,1.201,4716.0,4716.0
0,44,M,2,Graduate,Married,$40K - $60K,Blue,36,3,1,2,4010.0,1247,2763.0,1.201,1088.0,24,0.846,0.311,1088.0,1088.0,1.201,1.201,4010.0,4010.0
0,51,M,4,Unknown,Married,$120K +,Gold,46,6,1,3,23836.25,2264,22660.75,1.201,1330.0,31,0.722,0.066,1330.0,1330.0,1.201,1.201,23836.25,23836.25
0,32,M,0,High School,Unknown,$60K - $80K,Silver,27,2,2,2,23836.25,1396,22660.75,1.201,1538.0,36,0.714,0.048,1538.0,1538.0,1.201,1.201,23836.25,23836.25
0,37,M,3,Uneducated,Single,$60K - $80K,Blue,36,5,2,0,22352.0,2517,19835.0,1.201,1350.0,24,1.172,0.113,1350.0,1350.0,1.201,1.201,22352.0,22352.0
0,48,M,2,Graduate,Single,$80K - $120K,Blue,36,6,3,3,11656.0,1677,9979.0,1.201,1441.0,32,0.882,0.144,1441.0,1441.0,1.201,1.201,11656.0,11656.0
0,42,M,5,Uneducated,Unknown,$120K +,Blue,31,5,3,2,6748.0,1467,5281.0,0.831,1201.0,42,0.68,0.217,1201.0,1201.0,0.831,0.831,6748.0,6748.0
0,65,M,1,Unknown,Married,$40K - $60K,Blue,54,6,2,3,9095.0,1587,7508.0,1.201,1314.0,26,1.172,0.174,1314.0,1314.0,1.201,1.201,9095.0,9095.0
0,56,M,1,College,Single,$80K - $120K,Blue,36,3,6,0,11751.0,0,11751.0,1.201,1539.0,17,1.172,0.0,1539.0,1539.0,1.201,1.201,11751.0,11751.0
0,35,M,3,Graduate,Unknown,$60K - $80K,Blue,30,5,1,3,8547.0,1666,6881.0,1.163,1311.0,33,1.172,0.195,1311.0,1311.0,1.163,1.163,8547.0,8547.0
0,57,F,2,Graduate,Married,Less than $40K,Blue,48,5,2,2,2436.0,680,1756.0,1.19,1570.0,29,0.611,0.279,1570.0,1570.0,1.19,1.19,2436.0,2436.0
0,44,M,4,Unknown,Unknown,$80K - $120K,Blue,37,5,1,2,4234.0,972,3262.0,1.201,1348.0,27,1.172,0.23,1348.0,1348.0,1.201,1.201,4234.0,4234.0
0,48,M,4,Post-Graduate,Single,$80K - $120K,Blue,36,6,2,3,23836.25,2362,22660.75,1.201,1671.0,27,0.929,0.078,1671.0,1671.0,1.201,1.201,23836.25,23836.25
0,41,M,3,Unknown,Married,$80K - $120K,Blue,34,4,4,1,13535.0,1291,12244.0,0.653,1028.0,21,1.172,0.095,1028.0,1028.0,0.653,0.653,13535.0,13535.0
0,61,M,1,High School,Married,$40K - $60K,Blue,56,2,2,3,3193.0,2517,676.0,1.201,1336.0,30,1.143,0.788,1336.0,1336.0,1.201,1.201,3193.0,3193.0
0,45,F,2,Graduate,Married,Unknown,Blue,37,6,1,2,14470.0,1157,13313.0,0.966,1207.0,21,0.909,0.08,1207.0,1207.0,0.966,0.966,14470.0,14470.0
0,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,5,2,0,20979.0,1800,19179.0,0.906,1178.0,27,0.929,0.086,1178.0,1178.0,0.906,0.906,20979.0,20979.0
1,62,F,0,Graduate,Married,Less than $40K,Blue,49,2,3,3,1438.3,0,1438.3,1.047,692.0,16,0.6,0.0,692.0,692.0,1.047,1.047,1438.3,1438.3
0,41,M,3,High School,Married,$40K - $60K,Blue,33,4,2,1,4470.0,680,3790.0,1.201,931.0,18,1.172,0.152,931.0,931.0,1.201,1.201,4470.0,4470.0
0,47,F,4,Unknown,Single,Less than $40K,Blue,36,3,3,2,2492.0,1560,932.0,0.573,1126.0,23,0.353,0.626,1126.0,1126.0,0.573,0.573,2492.0,2492.0
0,54,M,2,Unknown,Married,$80K - $120K,Blue,42,4,2,3,12217.0,0,12217.0,1.075,1110.0,21,0.75,0.0,1110.0,1110.0,1.075,1.075,12217.0,12217.0
0,41,F,3,Graduate,Single,Less than $40K,Blue,28,6,1,2,7768.0,1669,6099.0,0.797,1051.0,22,0.833,0.215,1051.0,1051.0,0.797,0.797,7768.0,7768.0
0,59,M,1,High School,Unknown,$40K - $60K,Blue,46,4,1,2,14784.0,1374,13410.0,0.921,1197.0,23,1.172,0.093,1197.0,1197.0,0.921,0.921,14784.0,14784.0
0,63,M,1,Unknown,Married,$60K - $80K,Blue,56,3,3,2,10215.0,1010,9205.0,0.843,1904.0,40,1.0,0.099,1904.0,1904.0,0.843,0.843,10215.0,10215.0
0,44,F,3,Uneducated,Single,Unknown,Blue,34,5,2,2,10100.0,0,10100.0,0.525,1052.0,18,1.172,0.0,1052.0,1052.0,0.525,0.525,10100.0,10100.0
0,47,M,4,High School,Married,$40K - $60K,Blue,42,6,0,0,4785.0,1362,3423.0,0.739,1045.0,38,0.9,0.285,1045.0,1045.0,0.739,0.739,4785.0,4785.0
0,53,M,3,Unknown,Married,$80K - $120K,Blue,33,3,2,3,2753.0,1811,942.0,0.977,1038.0,25,1.172,0.658,1038.0,1038.0,0.977,0.977,2753.0,2753.0
0,53,M,2,Uneducated,Married,$60K - $80K,Blue,48,2,5,1,2451.0,1690,761.0,1.201,1596.0,26,1.172,0.69,1596.0,1596.0,1.201,1.201,2451.0,2451.0
0,41,M,4,Graduate,Married,$60K - $80K,Blue,36,4,1,2,8923.0,2517,6406.0,1.201,1589.0,24,1.172,0.282,1589.0,1589.0,1.201,1.201,8923.0,8923.0
0,53,F,2,College,Married,Less than $40K,Blue,38,5,2,3,2650.0,1490,1160.0,1.201,1411.0,28,1.0,0.562,1411.0,1411.0,1.201,1.201,2650.0,2650.0
0,58,M,0,Graduate,Married,$80K - $120K,Blue,49,6,2,2,12555.0,1696,10859.0,0.519,1291.0,24,0.714,0.135,1291.0,1291.0,0.519,0.519,12555.0,12555.0
0,55,F,1,College,Single,Less than $40K,Blue,36,4,2,1,3520.0,1914,1606.0,0.51,1407.0,43,0.483,0.544,1407.0,1407.0,0.51,0.51,3520.0,3520.0
0,55,F,3,Graduate,Married,Less than $40K,Blue,36,6,2,3,3035.0,2298,737.0,1.201,1877.0,37,1.172,0.757,1877.0,1877.0,1.201,1.201,3035.0,3035.0
0,42,F,4,High School,Married,Less than $40K,Gold,36,2,3,3,15433.0,0,15433.0,0.865,966.0,22,1.172,0.0,966.0,966.0,0.865,0.865,15433.0,15433.0
0,57,F,1,Graduate,Unknown,$40K - $60K,Blue,49,3,3,2,3672.0,886,2786.0,1.201,1464.0,28,0.556,0.241,1464.0,1464.0,1.201,1.201,3672.0,3672.0
1,66,F,0,Doctorate,Married,Unknown,Blue,56,5,4,3,7882.0,605,7277.0,1.052,704.0,16,0.22799999999999998,0.077,704.0,704.0,1.052,1.052,7882.0,7882.0
0,45,M,3,Graduate,Single,$80K - $120K,Blue,41,2,2,2,23836.25,578,22660.75,1.042,1109.0,28,0.474,0.018,1109.0,1109.0,1.042,1.042,23836.25,23836.25
0,51,M,2,Unknown,Married,$40K - $60K,Blue,44,4,1,0,6205.0,2204,4001.0,0.803,1347.0,28,0.556,0.355,1347.0,1347.0,0.803,0.803,6205.0,6205.0
0,50,F,1,College,Single,$40K - $60K,Silver,43,3,2,3,17304.0,2517,14787.0,1.201,1756.0,33,1.172,0.145,1756.0,1756.0,1.201,1.201,17304.0,17304.0
0,49,M,3,High School,Married,$60K - $80K,Blue,37,5,2,1,3906.0,0,3906.0,1.201,1756.0,32,1.0,0.0,1756.0,1756.0,1.201,1.201,3906.0,3906.0
0,38,F,4,Graduate,Single,Unknown,Blue,28,2,3,3,9830.0,2055,7775.0,0.977,1042.0,23,0.917,0.209,1042.0,1042.0,0.977,0.977,9830.0,9830.0
0,49,M,4,Uneducated,Single,$80K - $120K,Blue,30,3,2,3,23836.25,0,22660.75,1.201,1444.0,28,1.172,0.0,1444.0,1444.0,1.201,1.201,23836.25,23836.25
0,56,M,2,Doctorate,Married,$60K - $80K,Blue,45,6,2,0,2283.0,1430,853.0,1.201,1741.0,27,0.588,0.626,1741.0,1741.0,1.201,1.201,2283.0,2283.0
0,59,M,1,Doctorate,Married,$40K - $60K,Blue,52,3,2,2,2548.0,2020,528.0,1.201,1719.0,27,1.172,0.793,1719.0,1719.0,1.201,1.201,2548.0,2548.0
0,46,M,3,High School,Married,$80K - $120K,Blue,40,4,3,3,19458.0,1435,18023.0,0.787,1217.0,27,0.8,0.074,1217.0,1217.0,0.787,0.787,19458.0,19458.0
0,52,M,1,College,Single,$80K - $120K,Blue,40,5,1,1,4745.0,1227,3518.0,0.624,1140.0,40,0.6,0.259,1140.0,1140.0,0.624,0.624,4745.0,4745.0
0,52,F,3,Unknown,Married,Less than $40K,Blue,41,6,3,2,2622.0,1549,1073.0,1.201,1878.0,30,1.143,0.591,1878.0,1878.0,1.201,1.201,2622.0,2622.0
1,54,F,1,Graduate,Married,Less than $40K,Blue,40,2,3,1,1438.3,808,630.3,0.997,705.0,19,0.9,0.562,705.0,705.0,0.997,0.997,1438.3,1438.3
0,66,F,0,High School,Married,Less than $40K,Blue,54,3,4,2,3171.0,2179,992.0,1.201,1946.0,38,1.172,0.687,1946.0,1946.0,1.201,1.201,3171.0,3171.0
0,49,M,2,Unknown,Married,$120K +,Blue,36,4,2,0,19763.0,2517,17246.0,0.664,1414.0,35,0.25,0.127,1414.0,1414.0,0.664,0.664,19763.0,19763.0
1,56,M,2,Graduate,Married,$120K +,Blue,36,1,3,3,15769.0,0,15769.0,1.041,602.0,15,0.364,0.0,602.0,602.0,1.041,1.041,15769.0,15769.0
0,49,F,4,Graduate,Unknown,Less than $40K,Blue,36,6,4,2,3298.0,2200,1098.0,0.678,1052.0,32,0.6,0.667,1052.0,1052.0,0.678,0.678,3298.0,3298.0
